Refactoring Type	Source Entity	Target Class	Source/Target accessed members	Rate it!
Move Method	org.freeplane.features.encrypt.EncryptionController::encrypt(org.freeplane.features.map.NodeModel, org.freeplane.features.encrypt.PasswordStrategy):void	org.freeplane.features.map.NodeModel	2/4	
Move Method	org.freeplane.view.swing.map.DrawableShape::getFillColor(org.freeplane.view.swing.map.NodeView):java.awt.Color	org.freeplane.view.swing.map.NodeView	2/4	
Move Method	org.freeplane.view.swing.map.MainViewPainter::paintFoldingMark(org.freeplane.view.swing.map.NodeView, java.awt.Graphics2D):void	org.freeplane.view.swing.map.MainView	2/4	
Move Method	org.freeplane.core.ui.menubuilders.generic.EntryAccessor::getTextKey(org.freeplane.core.ui.menubuilders.generic.Entry):java.lang.String	org.freeplane.core.ui.menubuilders.generic.Entry	2/3	
Move Method	org.freeplane.features.attribute.AttributeBuilder::save(org.freeplane.features.map.NodeModel, org.freeplane.features.attribute.NodeAttributeTableModel, org.freeplane.core.io.ITreeWriter):void	org.freeplane.features.attribute.NodeAttributeTableModel	2/3	
Move Method	org.freeplane.features.filter.Filter::accepts(org.freeplane.features.map.NodeModel, int):boolean	org.freeplane.features.map.NodeModel	2/3	
Move Method	org.freeplane.features.icon.mindmapmode.TagCategoryEditor::setTagColor(java.awt.Color):void	org.freeplane.features.icon.TagCategories	2/3	
Move Method	org.freeplane.features.map.mindmapmode.MMapController::setProperty(org.freeplane.features.map.NodeModel, java.lang.Class<? extends org.freeplane.core.extension.IExtension>, T):void	org.freeplane.features.map.NodeModel	2/3	
Move Method	org.freeplane.features.styles.MapStyleModel::createNodeStyleMap(org.freeplane.features.map.NodeModel):void	org.freeplane.features.map.NodeModel	2/3	
Move Method	org.freeplane.view.swing.features.FitToPage::scroll():void	org.freeplane.view.swing.map.MapView	2/3	
Move Method	org.freeplane.view.swing.map.attribute.AttributeView::startEditingTable():void	org.freeplane.view.swing.map.attribute.AttributeTable	2/3	
Move Method	org.freeplane.view.swing.ui.UserInputListenerFactory::outputUnusedActions():void	org.freeplane.features.mode.ModeController	2/3	
