project,class_name,method_name,extract_lines,identifier,,,,,,,,,,,,,,,,,,,,,
jgrapht,AVLTree<T>,addMaxNode,7-9,public void addMaxNode(TreeNode<T> newMax),,,,,,,,,,,,,,,,,,,,,
jgrapht,AVLTree<T>,addMinNode,6-8,public void addMinNode(TreeNode<T> newMin),,,,,,,,,,,,,,,,,,,,,
jgrapht,TreeNode<T>,setPredecessor,2-4,void setPredecessor(TreeNode<T> node),,,,,,,,,,,,,,,,,,,,,
jgrapht,TreeNode<T>,setSuccessor,2-4,void setSuccessor(TreeNode<T> node),,,,,,,,,,,,,,,,,,,,,
jgrapht,DoublyLinkedList<E>,linkLast,1-3;6,private void linkLast(ListNodeImpl<E> node),,,,,,,,,,,,,,,,,,,,,
jgrapht,DoublyLinkedList<E>,addNodeBefore,1-2;7,"public void addNodeBefore(ListNode<E> node, ListNode<E> successor)",,,,,,,,,,,,,,,,,,,,,
jgrapht,TreeNode<T>,setLeftChild,2-3,void setLeftChild(TreeNode<T> node),,,,,,,,,,,,,,,,,,,,,
jgrapht,TreeNode<T>,setRightChild,2-3,void setRightChild(TreeNode<T> node),,,,,,,,,,,,,,,,,,,,,
jgrapht,DoublyLinkedList<E>,unlink,4;8,private boolean unlink(ListNodeImpl<E> node),,,,,,,,,,,,,,,,,,,,,
jgrapht,MathUtil,log2,2-19,public static int log2(int n),,,,,,,,,,,,,,,,,,,,,
jsprt,AlgorithmUtil,addCoreConstraints,1-7;12-38,"public static void addCoreConstraints(ConstraintManager constraintManager, StateManager stateManager, final VehicleRoutingProblem vrp)",,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleRoutingAlgorithm,verifyAndAdaptSolution,1-15;17,private void verifyAndAdaptSolution(VehicleRoutingProblemSolution solution),,,,,,,,,,,,,,,,,,,,,
jsprt,PrettyAlgorithmBuilder,build,13-20,public VehicleRoutingAlgorithm build(),,,,,,,,,,,,,,,,,,,,,
jsprt,PrettyAlgorithmBuilder,searchSchrimpfAndRegister,2-10,private void searchSchrimpfAndRegister(VehicleRoutingAlgorithm vra),,,,,,,,,,,,,,,,,,,,,
jsprt,SearchStrategyManager,addStrategy,4-6;10,"public void addStrategy(SearchStrategy strategy, double weight)",,,,,,,,,,,,,,,,,,,,,
jsprt,SearchStrategy,run,3-6,"public DiscoveredSolution run(VehicleRoutingProblem vrp, Collection<VehicleRoutingProblemSolution> solutions)",,,,,,,,,,,,,,,,,,,,,
jsprt,SearchStrategyManager,updateSumWeights,1-4,private void updateSumWeights(),,,,,,,,,,,,,,,,,,,,,
jsprt,SearchStrategy,addModule,2-3,public void addModule(SearchStrategyModule module),,,,,,,,,,,,,,,,,,,,,
jsprt,SearchStrategyManager,informStrategyWeightChanged,1-2,"public void informStrategyWeightChanged(String strategyId, double weight)",,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleRoutingAlgorithm,addInitialSolution,1-2,public void addInitialSolution(VehicleRoutingProblemSolution solution),,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleRoutingAlgorithm,addListener,2-4,public void addListener(VehicleRoutingAlgorithmListener l),,,,,,,,,,,,,,,,,,,,,
jsprt,PrettyAlgorithmBuilder,searchSchrimpfAndRegister,2-10,private void searchSchrimpfAndRegister(VehicleRoutingAlgorithm vra),,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleRoutingAlgorithm,searchSolutions,19;21,public Collection<VehicleRoutingProblemSolution> searchSolutions(),,,,,,,,,,,,,,,,,,,,,
jsprt,ExperimentalSchrimpfAcceptance,informAlgorithmStarts,11-27,"public void informAlgorithmStarts(VehicleRoutingProblem problem, VehicleRoutingAlgorithm algorithm, Collection<VehicleRoutingProblemSolution> solutions)",,,,,,,,,,,,,,,,,,,,,
jsprt,SchrimpfInitialThresholdGenerator,informAlgorithmStarts,7-23,"public void informAlgorithmStarts(VehicleRoutingProblem problem, VehicleRoutingAlgorithm algorithm, Collection<VehicleRoutingProblemSolution> solutions)",,,,,,,,,,,,,,,,,,,,,
jsprt,ExperimentalSchrimpfAcceptance,acceptSolution,9-10,"public boolean acceptSolution(Collection<VehicleRoutingProblemSolution> solutions, VehicleRoutingProblemSolution newSolution)",,,,,,,,,,,,,,,,,,,,,
jsprt,GreedyAcceptance,acceptSolution,8-9,"public boolean acceptSolution(Collection<VehicleRoutingProblemSolution> solutions, VehicleRoutingProblemSolution newSolution)",,,,,,,,,,,,,,,,,,,,,
jsprt,SchrimpfAcceptance,acceptSolution,9-10,"public boolean acceptSolution(Collection<VehicleRoutingProblemSolution> solutions, VehicleRoutingProblemSolution newSolution)",,,,,,,,,,,,,,,,,,,,,
jsprt,Jsprit,create,121-178;180-199;203-213;239-240;236-237;221-222;217-219;224-225;227-228;245-246;242-243;233-234;230-231;28-32;39-47;88-94;95-101,private VehicleRoutingAlgorithm create(final VehicleRoutingProblem vrp),,,,,,,,,,,,,,,,,,,,,
jsprt,RuinAndRecreateModule,addModuleListener,7-12,public void addModuleListener(SearchStrategyModuleListener moduleListener),,,,,,,,,,,,,,,,,,,,,
jsprt,RuinAndRecreateModule,runAndGetSolution,13-15,public VehicleRoutingProblemSolution runAndGetSolution(VehicleRoutingProblemSolution previousVrpSolution),,,,,,,,,,,,,,,,,,,,,
jsprt,CalculatesServiceInsertionWithTimeSchedulingInSlices,getInsertionData,1-20,"public InsertionData getInsertionData(VehicleRoute currentRoute, Job jobToInsert, Vehicle newVehicle, double newVehicleDepartureTime, Driver newDriver, double bestKnownScore)",,,,,,,,,,,,,,,,,,,,,
jsprt,JobInsertionCostsCalculatorBuilder,createStandardLocal,22-40,"private CalculatorPlusListeners createStandardLocal(final VehicleRoutingProblem vrp, RouteAndActivityStateGetter statesManager)",,,,,,,,,,,,,,,,,,,,,
jsprt,ServiceInsertionOnRouteLevelCalculator,initialiseStartAndEnd,1-9,"private void initialiseStartAndEnd(final Vehicle newVehicle, double newVehicleDepartureTime)",,,,,,,,,,,,,,,,,,,,,
jsprt,CalculatesServiceInsertionWithTimeScheduling,getInsertionData,1-8,"public InsertionData getInsertionData(VehicleRoute currentRoute, Job jobToInsert, Vehicle newVehicle, double newVehicleDepartureTime, Driver newDriver, double bestKnownScore)",,,,,,,,,,,,,,,,,,,,,
jsprt,InsertionDataUpdater,update,2-8,"static boolean update(boolean addAllAvailable, Set<String> initialVehicleIds, VehicleFleetManager fleetManager, JobInsertionCostsCalculator insertionCostsCalculator, TreeSet<VersionedInsertionData> insertionDataSet, int updateRound, Job unassignedJob, Collection<VehicleRoute> routes)",,,,,,,,,,,,,,,,,,,,,
jsprt,VariableTransportCostCalculator,getCosts,17-25,"public double getCosts(JobInsertionContext iFacts, TourActivity prevAct, TourActivity newAct, TourActivity nextAct, double depTimeAtPrevAct)",,,,,,,,,,,,,,,,,,,,,
jsprt,DefaultScorer,getLargestTimeWindow,1-5,private TimeWindow getLargestTimeWindow(Activity act),,,,,,,,,,,,,,,,,,,,,
jsprt,BreakScheduling,ruinEnds,6-12,"public void ruinEnds(Collection<VehicleRoute> routes, Collection<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,BestInsertionConcurrent,distributeRoutes,7-14,"private List<Batch> distributeRoutes(Collection<VehicleRoute> vehicleRoutes, int nuOfBatches)",,,,,,,,,,,,,,,,,,,,,
jsprt,ServiceInsertionOnRouteLevelCalculator,initialiseStartAndEnd,11-17,"private void initialiseStartAndEnd(final Vehicle newVehicle, double newVehicleDepartureTime)",,,,,,,,,,,,,,,,,,,,,
jsprt,CalculatesServiceInsertionWithTimeSchedulingInSlices,getInsertionData,2-5,"public InsertionData getInsertionData(VehicleRoute currentRoute, Job jobToInsert, Vehicle newVehicle, double newVehicleDepartureTime, Driver newDriver, double bestKnownScore)",,,,,,,,,,,,,,,,,,,,,
jsprt,IncreasingAbsoluteFixedCosts,getCosts,1-5,public double getCosts(JobInsertionContext insertionContext),,,,,,,,,,,,,,,,,,,,,
jsprt,RouteLevelActivityInsertionCostsEstimator,getCosts,5-7,"public double getCosts(JobInsertionContext iFacts, TourActivity prevAct, TourActivity nextAct, TourActivity newAct, double depTimeAtPrevAct)",,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleTypeDependentJobInsertionCalculator,getInsertionData,18-20,"public InsertionData getInsertionData(final VehicleRoute currentRoute, final Job jobToInsert, final Vehicle vehicle, double newVehicleDepartureTime, final Driver driver, final double bestKnownCost)",,,,,,,,,,,,,,,,,,,,,
jsprt,KnowledgeInjection,informInsertionStarts,1;5-11,"public void informInsertionStarts(Collection<VehicleRoute> vehicleRoutes, Collection<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,ServiceInsertionOnRouteLevelCalculator,getInsertionData,151-152,"public InsertionData getInsertionData(final VehicleRoute currentRoute, final Job jobToInsert, final Vehicle newVehicle, double newVehicleDepartureTime, final Driver newDriver, final double best_known_insertion_costs)",,,,,,,,,,,,,,,,,,,,,
jsprt,LocalActivityInsertionCostsCalculator,getCosts,38-39;28-30,"public double getCosts(JobInsertionContext iFacts, TourActivity prevAct, TourActivity nextAct, TourActivity newAct, double depTimeAtPrevAct)",,,,,,,,,,,,,,,,,,,,,
jsprt,BreakInsertionCalculator,getInsertionData,70-71,"public InsertionData getInsertionData(final VehicleRoute currentRoute, final Job jobToInsert, final Vehicle newVehicle, double newVehicleDepartureTime, final Driver newDriver, final double bestKnownCosts)",,,,,,,,,,,,,,,,,,,,,
jsprt,RegretInsertion,getScoredJob,7-9,"static ScoredJob getScoredJob(Collection<VehicleRoute> routes, Job unassignedJob, JobInsertionCostsCalculator insertionCostsCalculator, ScoringFunction scoringFunction)",,,,,,,,,,,,,,,,,,,,,
jsprt,RegretInsertionConcurrentFast,updateInsertionData,1-25,"private void updateInsertionData(final TreeSet<VersionedInsertionData>[] priorityQueues, final Collection<VehicleRoute> routes, List<Job> unassignedJobList, final int updateRound, final boolean firstRun, final VehicleRoute lastModified, Map<VehicleRoute, Integer> updates)",,,,,,,,,,,,,,,,,,,,,
jsprt,RegretInsertionConcurrentFast,insertUnassignedJobs,38-40;23-38,"public Collection<Job> insertUnassignedJobs(Collection<VehicleRoute> routes, Collection<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,RegretInsertionFast,updateInsertionData,26-32;1-25,"private void updateInsertionData(TreeSet<VersionedInsertionData>[] priorityQueues, Collection<VehicleRoute> routes, List<Job> unassignedJobList, int updateRound, boolean firstRun, VehicleRoute lastModified, Map<VehicleRoute, Integer> updates)",,,,,,,,,,,,,,,,,,,,,
jsprt,RegretInsertionFast,insertUnassignedJobs,45-47,"public Collection<Job> insertUnassignedJobs(Collection<VehicleRoute> routes, Collection<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,ServiceInsertionCalculator,getInsertionData,66-67,"public InsertionData getInsertionData(final VehicleRoute currentRoute, final Job jobToInsert, final Vehicle newVehicle, double newVehicleDepartureTime, final Driver newDriver, final double bestKnownCosts)",,,,,,,,,,,,,,,,,,,,,
jsprt,ShipmentInsertionCalculator,getInsertionData,140-141;130-131;74-80,"public InsertionData getInsertionData(final VehicleRoute currentRoute, final Job jobToInsert, final Vehicle newVehicle, double newVehicleDepartureTime, final Driver newDriver, final double bestKnownCosts)",,,,,,,,,,,,,,,,,,,,,
jsprt,ShipmentInsertionCalculatorFlex,getInsertionData,145-146;133-134;73-79,"public InsertionData getInsertionData(final VehicleRoute currentRoute, final Job jobToInsert, final Vehicle newVehicle, double newVehicleDepartureTime, final Driver newDriver, final double bestKnownCosts)",,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleTypeDependentJobInsertionCalculator,getInitialVehicleIds,2-4,private void getInitialVehicleIds(),,,,,,,,,,,,,,,,,,,,,
jsprt,LocalActivityInsertionCostsCalculator,getCosts,1;3-5;9-11;19-21;26-45,"public double getCosts(JobInsertionContext iFacts, TourActivity prevAct, TourActivity nextAct, TourActivity newAct, double depTimeAtPrevAct)",,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleTypeDependentJobInsertionCalculator,getInsertionData,4;8-16,"public InsertionData getInsertionData(final VehicleRoute currentRoute, final Job jobToInsert, final Vehicle vehicle, double newVehicleDepartureTime, final Driver driver, final double bestKnownCost)",,,,,,,,,,,,,,,,,,,,,
jsprt,DefaultScorer,scoreJob,4-5;8-9,"private double scoreJob(InsertionData best, Job job)",,,,,,,,,,,,,,,,,,,,,
jsprt,AdditionalAccessEgressCalculator,getCosts,4-9;15-23,public double getCosts(JobInsertionContext insertionContext),,,,,,,,,,,,,,,,,,,,,
jsprt,JobInsertionCostsCalculatorBuilder,build,8-14,public JobInsertionCostsCalculator build(),,,,,,,,,,,,,,,,,,,,,
jsprt,RuinString,ruinRoutes,12-25;4-8,public Collection<Job> ruinRoutes(Collection<VehicleRoute> vehicleRoutes),,,,,,,,,,,,,,,,,,,,,
jsprt,DBSCANClusterer,getLocationWrappers,3-14,private List<LocationWrapper> getLocationWrappers(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,RuinWorst,ruin,2-9,"private void ruin(Collection<VehicleRoute> vehicleRoutes, int nOfJobs2BeRemoved, List<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,RuinRandom,ruin,5-11,"private void ruin(Collection<VehicleRoute> vehicleRoutes, int nOfJobs2BeRemoved, List<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,RuinString,ruinRouteWithSplitStringRuin,2-5;33-39;9-20;25-49,"private void ruinRouteWithSplitStringRuin(VehicleRoute seedRoute, Job prevJob, Set<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,DBSCANClusterer,getClusters,1-3,"private List<Cluster<LocationWrapper>> getClusters(VehicleRoute route, List<LocationWrapper> locations)",,,,,,,,,,,,,,,,,,,,,
jsprt,JobNeighborhoodsImpl,calculateDistancesFromJob2Job,2-3;25,private void calculateDistancesFromJob2Job(),,,,,,,,,,,,,,,,,,,,,
jsprt,JobNeighborhoodsImplWithCapRestriction,calculateDistancesFromJob2Job,1-2;41;14-21,private void calculateDistancesFromJob2Job(),,,,,,,,,,,,,,,,,,,,,
jsprt,JobNeighborhoodsOptimized,calculateDistancesFromJob2Job,2-3;24;8-21,private void calculateDistancesFromJob2Job(),,,,,,,,,,,,,,,,,,,,,
jsprt,RuinString,ruinRouteWithStringRuin,3-15;17-27;32-53,"private void ruinRouteWithStringRuin(VehicleRoute seedRoute, Job prevJob, Set<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,RuinRadialMultipleCenters,ruinRoutes,11-15,public Collection<Job> ruinRoutes(Collection<VehicleRoute> vehicleRoutes),,,,,,,,,,,,,,,,,,,,,
jsprt,RuinClusters,ruin,2-47,"private void ruin(Collection<VehicleRoute> vehicleRoutes, int nOfJobs2BeRemoved, List<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,MyDistance,compute,5-8,"public double compute(double[] doubles, double[] doubles1)",,,,,,,,,,,,,,,,,,,,,
jsprt,DBSCANClusterer,sample,1;3-8,"private double sample(VehicleRoutingTransportCosts costs, VehicleRoute r)",,,,,,,,,,,,,,,,,,,,,
jsprt,RuinBreaks,ruinEnds,1-3;6,"public void ruinEnds(Collection<VehicleRoute> routes, Collection<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,AvgServiceAndShipmentDistance,calcDist,1-6,"private double calcDist(List<Activity> iActivities, List<Activity> jActivities)",,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateLoads,insertionStarts,3-11,void insertionStarts(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateVariableCosts,finish,1-8,public void finish(),,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleDependentTraveledDistance,finish,2-7,public void finish(),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateLoads,informJobInserted,2-4;6-8,"public void informJobInserted(Job job2insert, VehicleRoute inRoute, InsertionData insertionData)",,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleDependentTraveledDistance,visit,2-4;6,public void visit(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateActivityNextLocations,visit,1-5,public void visit(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateActivityPrevLocations,visit,1-5,public void visit(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateVehicleDependentPracticalTimeWindows,visit,1-5,public void visit(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleDependentTraveledDistance,begin,2-6,public void begin(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateVehicleDependentPracticalTimeWindows,begin,5-8,public void begin(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateSkills,visit,2-3,public void visit(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,StateManager,putRouteState,6-9,"<T> void putTypedInternalRouteState(VehicleRoute route, StateId stateId, T state)",,,,,,,,,,,,,,,,,,,,,
jsprt,StateManager,putTypedInternalRouteState,6-9,"<T> void putTypedInternalRouteState(VehicleRoute route, Vehicle vehicle, StateId stateId, T state)",,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateMaxTimeInVehicle,visit,4-8;10-24,public void visit(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateMaxTimeInVehicle,finish,1;4-6,public void finish(),,,,,,,,,,,,,,,,,,,,,
jsprt,UpdateLoads,insertionStarts,2-7,void insertionStarts(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,StateManager,informInsertionStarts,1-2;7,"public void informInsertionStarts(Collection<VehicleRoute> vehicleRoutes, Collection<Job> unassignedJobs)",,,,,,,,,,,,,,,,,,,,,
jsprt,StateManager,clear,9,public void clear(),,,,,,,,,,,,,,,,,,,,,
jsprt,BackhaulAndShipmentUpdater,finish,7;9,public void finish(),,,,,,,,,,,,,,,,,,,,,
jsprt,SumUpActivityTimes,visit,3-4;6,public void visit(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,SkillUpdater,visit,1-6,public void visit(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addJobToFinalMap,6-12,private void addJobToFinalMap(Job job),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,build,11-17,public VehicleRoutingProblem build(),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addJobToFinalMap,6-11,private void addJobToFinalMap(Job job),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addJob,1-2;5,public Builder addJob(AbstractJob job),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addNonJobActivities,2;4,public Builder addNonJobActivities(Collection<? extends AbstractActivity> nonJobActivities),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addVehicle,5-6;17-24,public Builder addVehicle(AbstractVehicle vehicle),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addJobToFinalJobMapAndCreateActivities,2-6,private void addJobToFinalJobMapAndCreateActivities(Job job),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addBreaksToActivityMap,8;11-14,private boolean addBreaksToActivityMap(),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addVehicle,1-6,public Builder addVehicle(AbstractVehicle vehicle),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addInitialVehicleRoute,1-5;9-10,public Builder addInitialVehicleRoute(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addJobToFinalJobMapAndCreateActivities,2;7,private void addJobToFinalJobMapAndCreateActivities(Job job),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addBreaksToActivityMap,2-10;15,private boolean addBreaksToActivityMap(),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addInitialVehicleRoute,9-11,public Builder addInitialVehicleRoute(VehicleRoute route),,,,,,,,,,,,,,,,,,,,,
jsprt,Capacity,divide,3-9,"public static double divide(Capacity numerator, Capacity denominator)",,,,,,,,,,,,,,,,,,,,,
jsprt,MaxTimeInVehicleConstraint,fulfilled,59-76;52-57;15-21,"public ConstraintsStatus fulfilled(final JobInsertionContext iFacts, TourActivity prevAct, TourActivity newAct, TourActivity nextAct, double prevActDepTime)",,,,,,,,,,,,,,,,,,,,,
jsprt,PickupAndDeliverShipmentLoadActivityLevelConstraint,fulfilled,4-11,"public ConstraintsStatus fulfilled(JobInsertionContext iFacts, TourActivity prevAct, TourActivity newAct, TourActivity nextAct, double prevActDepTime)",,,,,,,,,,,,,,,,,,,,,
jsprt,AdditionalTransportationCosts,getCosts,17-25,"public double getCosts(JobInsertionContext iFacts, TourActivity prevAct, TourActivity newAct, TourActivity nextAct, double depTimeAtPrevAct)",,,,,,,,,,,,,,,,,,,,,
jsprt,HardSkillConstraint,fulfilled,6-7,public boolean fulfilled(JobInsertionContext insertionContext),,,,,,,,,,,,,,,,,,,,,
jsprt,ServiceLoadRouteLevelConstraint,fulfilled,8-9;14-15,public boolean fulfilled(JobInsertionContext insertionContext),,,,,,,,,,,,,,,,,,,,,
jsprt,MaxDistanceConstraint,fulfilled,22-43;12-14,"public ConstraintsStatus fulfilled(JobInsertionContext iFacts, TourActivity prevAct, TourActivity newAct, TourActivity nextAct, double prevActDepTime)",,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleDependentTimeWindowConstraints,fulfilled,5-6;1-2;16-19,"public ConstraintsStatus fulfilled(JobInsertionContext iFacts, TourActivity prevAct, TourActivity newAct, TourActivity nextAct, double prevActDepTime)",,,,,,,,,,,,,,,,,,,,,
jsprt,ConstraintManager,resolveConstraints,2-3;5-7;9-11;15-17,private void resolveConstraints(Collection<Constraint> constraints),,,,,,,,,,,,,,,,,,,,,
jsprt,HardActivityLevelConstraintManager,addConstraint,1-2,"public void addConstraint(HardActivityConstraint constraint, ConstraintManager.Priority priority)",,,,,,,,,,,,,,,,,,,,,
jsprt,HardActivityLevelConstraintManager,addConstraint,1;3;4;6,"public void addConstraint(HardActivityConstraint constraint, ConstraintManager.Priority priority)",,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,setDeliveryTimeWindow,2-3,public Builder setDeliveryTimeWindow(TimeWindow timeWindow),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,setPickupTimeWindow,2-3;6,public Builder setPickupTimeWindow(TimeWindow timeWindow),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addDeliveryTimeWindow,2-3;6,public Builder addDeliveryTimeWindow(TimeWindow timeWindow),,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleRoute,setStartAndEnd,2-12,"private void setStartAndEnd(Vehicle vehicle, double vehicleDepTime)",,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addBreakInternally,1-5,"private Builder addBreakInternally(Break currentBreak, TimeWindow timeWindow, Location breakLocation)",,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addService,2-6,"public Builder addService(Service service, TimeWindow timeWindow)",,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addDelivery,2-5,"public Builder addDelivery(Shipment shipment, TimeWindow deliveryTimeWindow)",,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,build,4-8,public VehicleRoute build(),,,,,,,,,,,,,,,,,,,,,
jsprt,Builder,addPickup,3-7,"public Builder addPickup(Shipment shipment, TimeWindow pickupTimeWindow)",,,,,,,,,,,,,,,,,,,,,
jsprt,TourActivities,addActivity,11-15,"public void addActivity(int insertionIndex, TourActivity act)",,,,,,,,,,,,,,,,,,,,,
jsprt,TourActivities,addJob,2;4,private void addJob(TourActivity act),,,,,,,,,,,,,,,,,,,,,
jsprt,TourActivities,removeActivity,29-31,public boolean removeActivity(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleFleetManagerImpl,initializeVehicleTypes,1-6,private void initializeVehicleTypes(),,,,,,,,,,,,,,,,,,,,,
jsprt,InfiniteVehicles,getAvailableVehicles,3-7,public Collection<Vehicle> getAvailableVehicles(Vehicle withoutThisType),,,,,,,,,,,,,,,,,,,,,
jsprt,VehicleFleetManagerImpl,getAvailableVehicles,2-6,public Collection<Vehicle> getAvailableVehicles(),,,,,,,,,,,,,,,,,,,,,
jsprt,FiniteFleetManagerFactory,createFleetManager,2,public VehicleFleetManager createFleetManager(),,,,,,,,,,,,,,,,,,,,,
jsprt,SolutionPrinter,printVerbose,17-22;31-33,"private static void printVerbose(PrintWriter out, VehicleRoutingProblem problem, VehicleRoutingProblemSolution solution)",,,,,,,,,,,,,,,,,,,,,
jsprt,SolutionPrinter,getNuOfJobs,1-14,private static Jobs getNuOfJobs(VehicleRoutingProblem problem),,,,,,,,,,,,,,,,,,,,,
jsprt,ActivityTimeTracker,visit,2-12,public void visit(TourActivity activity),,,,,,,,,,,,,,,,,,,,,
jsprt,Time,parseTimeToSeconds,2-5,public static double parseTimeToSeconds(String timeString),,,,,,,,,,,,,,,,,,,,,
jsprt,Time,parseSecondsToTime,9-10;11-14,public static String parseSecondsToTime(double seconds),,,,,,,,,,,,,,,,,,,,,
jsprt,UnassignedJobReasonTracker,put,4-6,"public void put(String simpleNameOfFailedConstraint, int code, String reason)",,,,,,,,,,,,,,,,,,,,,
jsprt,CrowFlyCosts,calculateDistance,1-4;6-7,"double calculateDistance(Location fromLocation, Location toLocation)",,,,,,,,,,,,,,,,,,,,,
libgdx,InputEventQueue,drain,6-45,public void drain (@Null InputProcessor processor),,,,,,,,,,,,,,,,,,,,,
libgdx,ResolutionFileResolver,resolve,1-5,"protected String resolve (FileHandle originalHandle, String suffix)",,,,,,,,,,,,,,,,,,,,,
libgdx,FileHandle,readBytes,1-13,"public int readBytes (byte[] bytes, int offset, int size)",,,,,,,,,,,,,,,,,,,,,
libgdx,FileHandle,parent,1-7,public FileHandle parent (),,,,,,,,,,,,,,,,,,,,,
libgdx,Model,loadAnimations,2-43,protected void loadAnimations (Iterable<ModelAnimation> modelAnimations),,,,,,,,,,,,,,,,,,,,,
libgdx,Model,loadNode,5-45,protected Node loadNode (ModelNode modelNode),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelInstance,copyAnimation,1-32,"public void copyAnimation (Animation sourceAnim, boolean shareKeyframes)",,,,,,,,,,,,,,,,,,,,,
libgdx,ModelBatch,flush,2-12,public void flush (),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelInstance,invalidate,2-15,private void invalidate (Node node),,,,,,,,,,,,,,,,,,,,,
libgdx,Model,loadNodes,2-10,protected void loadNodes (Iterable<ModelNode> modelNodes),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelBatch,render,1;3-8,"public void render (final RenderableProvider renderableProvider, final Environment environment, final Shader shader)",,,,,,,,,,,,,,,,,,,,,
libgdx,Model,convertMaterial,25-30;11-22,"protected Material convertMaterial (ModelMaterial mtl, TextureProvider textureProvider)",,,,,,,,,,,,,,,,,,,,,
libgdx,SimpleMeshPool,dispose,1-5,public void dispose (),,,,,,,,,,,,,,,,,,,,,
libgdx,TightMeshPool,dispose,1-5,public void dispose (),,,,,,,,,,,,,,,,,,,,,
libgdx,Environment,remove,2-4,public Environment remove (DirectionalLight light),,,,,,,,,,,,,,,,,,,,,
libgdx,Environment,remove,2-4,public Environment remove (PointLight light),,,,,,,,,,,,,,,,,,,,,
libgdx,Environment,remove,2-4,public Environment remove (SpotLight light),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelCache,end,60-62,public void end (),,,,,,,,,,,,,,,,,,,,,
libgdx,ModelCache,getRenderables,2-5,"public void getRenderables (Array<Renderable> renderables, Pool<Renderable> pool)",,,,,,,,,,,,,,,,,,,,,
libgdx,Model,convertMesh,1-4;18-23,protected void convertMesh (ModelMesh modelMesh),,,,,,,,,,,,,,,,,,,,,
